,fishery0,fishery1,fishery2,fishery3,fishery4,fishery5,fishery6,fishery7,fishery8,fishery9,fishery10,fishery11
SAP,0,0,0,0,0,0,0,0,0,0,0,0
JFS,0,0,0,0,0,0,0,0,0,0,0,0
JA,0,0,0,0,0,0,0,0,0,0,0,0
SP,0,0,0,0,0,0,0,0,0,0,0,0
PCM,0,0,0,0,0,0,0,0,0,0,0,0
BS,0,0,0,0,0,0,0,0,0,0,0,0
SYC,0,0,0,0,0,0,0,0,0,0,0,0
WC,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,0,0,0,0,0,0,0,0,0,0,0
CM,0,0,0,0,0,0,0,0,0,0,0,0
LH,0,0,0,0,0,0,0,0,0,0,0,0
JSM,0,0,0,0,0,0,0,0,0,0,0,0
